article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,closure_type
What a brief water shutoff reveals about rural hospital vulnerabilities,2026-01-29T11:43:21-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/what-a-brief-water-shutoff-reveals-about-rural-hospital-vulnerabilities/,1,Active Closure,Irwin County Hospital,,,,2026-01-26,GA,Ocilla,Temporary water shutoff due to unpaid balance.,,"Irwin County Hospital experienced a temporary water shutoff on January 26 due to an unpaid balance. The city disconnected water service, but emergency and fire safety lines remained active. Water service was restored by January 28.",closure,other_closure
'71 cents on the dollar' won't cover care: Pennsylvania hospitals call for Medicaid fix,2026-01-28T17:13:14-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/71-cents-on-the-dollar-wont-cover-care-pennsylvania-hospitals-call-for-medicaid-fix/,1,Planned Closure,,,,,,PA,,Financial instability and underpayment from Medicaid.,"Potential closure of up to 14 hospitals, costing the state $900 million in lost wages and increasing drive times to hospitals.","A report indicates that up to 14 hospitals in Pennsylvania could close in the next five years due to financial instability. Nearly 40% of hospitals are operating at a loss, and closures could significantly impact access to care and local economies.",closure,hospital_closure
California county OKs emergency plan to stabilize hospital,2026-01-28T16:00:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/california-county-oks-emergency-plan-to-stabilize-hospital/,1,Planned Closure,Palo Verde Hospital,,,,,CA,"Blythe, California",Lack of funding,,Palo Verde Hospital nearly closed in early January due to lack of funding. An emergency department stabilization operations plan has been implemented to manage the hospital's ED for 180 days.,closure,hospital_closure
"Indiana hospitals face 'significant pressures,' 1.9% median margin",2026-01-27T12:36:46-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/indiana-hospitals-face-significant-pressures-median-1-9-margin/,1,Planned Closure,Greene County General Hospital,,,,2026-01-31,IN,,Financial strain and inability to break even on obstetrics services.,70 babies a year previously delivered at the hospital will no longer be able to be born there.,"Greene County General Hospital will close its obstetrics services on January 31, 2026, after more than 100 years of operations due to financial losses. The hospital reported that the reimbursement rates for deliveries were insufficient to cover costs, leading to this difficult decision.",closure,service_line_closure
"Idaho system lays off 10% of workforce, plans to close infusion clinic",2026-01-27T10:03:09-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/idaho-system-lays-off-10-of-workforce-plans-to-close-infusion-clinic/,1,Planned Closure,Teton Valley Health Care,,,,,ID,"Driggs, Idaho",Financial pressures and a 75% drop in patient days.,,"Teton Valley Health Care plans to close its infusion clinic due to financial challenges. A closure date has not been set, and the clinic will close once existing medication supplies are depleted.",closure,other_closure
Hennepin to cut 100 jobs amid service line restructuring,2026-01-26T16:29:07-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/hennepin-to-cut-100-jobs-amid-service-line-restructuring/,1,Planned Closure,Hennepin Healthcare,,,,,MN,Minneapolis,Service line restructuring and financial stabilization efforts.,About 100 positions eliminated; patients referred to external providers.,"Hennepin Healthcare is planning to close or integrate several stand-alone clinics and services, including chiropractic and acupuncture. The changes are part of a broader effort to stabilize finances and protect core clinical services.",closure,service_line_closure
Hennepin to cut 100 jobs amid service line restructuring,2026-01-26T16:29:07-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/hennepin-to-cut-100-jobs-amid-service-line-restructuring/,2,Planned Closure,Hennepin Healthcare,,,,,MN,Minneapolis,Service line restructuring and financial stabilization efforts.,Patients referred to primary care for sleep clinic services.,"Hennepin Healthcare will close its sleep clinic, though screening tests will continue through primary care. This is part of the health system's restructuring efforts.",closure,service_line_closure
"124 rural hospital maternity services closed, closing in 6 years: Analysis",2026-01-26T09:20:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/124-rural-hospitals-closed-labor-and-delivery-in-6-years-analysis/,1,Active Closure,,,,,,"IN,OH,MN,ME,WI,AR,IL,PA,CA,CO",Various rural hospitals across the mentioned states,"Inadequate payments from private insurance companies and Medicaid, along with workforce shortages.",Higher risks of complications and death during childbirth for women in communities without local maternity care.,"Since the end of 2020, 124 rural hospitals have closed their maternity units or plan to close them by 2026. This represents a 12% reduction in rural labor and delivery services, impacting access to care for pregnant women.",closure,service_line_closure
"734 hospitals at risk of closure, by state",2026-01-26T09:03:53-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/734-hospitals-at-risk-of-closure-by-state/,1,Active Closure,,,,,,"AL,AK,AZ,AR,CA,CO,CT,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,WA,WV,WI,WY",,Severe financial problems and inadequate payments from private insurance companies.,Millions of Americans without access to emergency rooms and inpatient care.,"Seven hundred and thirty-four rural hospitals across the U.S. are at risk of closing due to severe financial problems. More than 100 rural hospitals have already shut their doors over the last decade, impacting access to care for millions.",closure,hospital_closure
Closed California hospital could get 2nd chance,2026-01-22T16:04:54-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/closed-california-hospital-could-get-2nd-chance/,1,Active Closure,Glenn Medical Center,,,,2025-09-30,CA,"Willows, Glenn County, California",Lost CAH status due to proximity to another hospital.,,"Glenn Medical Center closed on September 30, 2025, after losing its critical access hospital status. The closure was due to its proximity to Colusa Medical Center, which is only 32 miles away. Efforts are underway to potentially restore its status and reopen the hospital.",closure,hospital_closure
14 Pennsylvania hospitals could close in 5 years: Analysis,2026-01-21T14:11:54-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/14-pennsylvania-hospitals-could-close-in-5-years-analysis/,1,Planned Closure,,,,,,PA,,Projected hospital closures due to financial instability and low Medicaid reimbursement rates.,Projected closures could eliminate $900 million in wages through job losses.,"An analysis indicates that 12 to 14 hospitals in Pennsylvania could close within the next five years due to financial challenges. Currently, 37% of hospitals are operating at a loss, which could significantly impact access to care.",closure,hospital_closure
"California hospital to cut 265 jobs, affecting nurses and managers",2026-01-21T13:29:53-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/california-hospital-to-cut-265-jobs-affecting-nurses-and-managers/,1,Planned Closure,Pomona Valley Hospital Medical Center,,,,2026-03-08,CA,Pomona,Significant state and federal funding cuts.,"265 positions will be eliminated, affecting management, clinical, and nonclinical roles.",Pomona Valley Hospital Medical Center plans to eliminate 265 positions by March 8 due to significant funding cuts. The reductions are part of a strategy to maintain long-term sustainability and address financial challenges. The cuts will not directly impact patient care services.,closure,other_closure
"North Star to reduce over 100 positions, including management",2026-01-20T09:39:16-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/north-star-to-reduce-over-100-positions-including-management/,1,Planned Closure,North Star Health Alliance,,,,,NY,"Ogdensburg, Carthage, Watertown",Financial pressure and operational adjustments,,"North Star Health Alliance is planning to reduce its workforce and evaluate service lines, which may lead to facility closures. The system is facing significant financial pressure and has proposed consolidating services into fewer facilities.",closure,facility_closure
Sale of 2 Prospect Rhode Island hospitals falls through,2026-01-20T09:27:04-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/sale-of-2-prospect-rhode-island-hospitals-falls-through/,1,Planned Closure,Prospect Medical Holdings,,,,2026-01-30,RI,"North Providence, RI; Providence, RI","The sale of the hospitals fell through, leading to a planned transfer out of Prospect's hands.",,"The sale of Our Lady of Fatima Hospital and Roger Williams Medical Center fell through, and they are set to be transferred out of Prospect Medical Holdings by January 30, 2026, if no purchase is completed.",closure,facility_closure
Arkansas hospital to file for bankruptcy,2026-01-20T09:21:08-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/arkansas-hospital-to-file-for-bankruptcy/,1,Active Closure,Ouachita County Medical Center,,,,,AR,Camden,Low number of births and unprofitability,,Ouachita County Medical Center closed its labor and delivery unit earlier this month due to a low number of births and unprofitability. This closure is part of the hospital's broader financial challenges as it prepares to file for Chapter 11 bankruptcy.,closure,unit_closure
A rural Washington hospital's roadmap to financial recovery,2026-01-16T16:54:55-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/a-rural-washington-hospitals-roadmap-to-financial-recovery/,1,Planned Closure,East Adams Rural Healthcare’s Ritzville Hospital,,,,2026-01-07,WA,"Ritzville, Washington",Potential bankruptcy or closure due to financial challenges.,,"East Adams Rural Healthcare’s Ritzville Hospital faced a potential closure or bankruptcy on January 7, 2026, due to financial challenges. However, improvements in financial performance have allowed the hospital to avoid this deadline, with plans to transition to a rural emergency hospital model by April 1.",closure,hospital_closure
